RCT_ID,URL,Platform,Expected_Access,Download_Method,Status,Downloaded,Notes
AEARCTR-0001084,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28058,Harvard Dataverse,Public,Manual browser download,Network blocked - requires manual download,No,
AEARCTR-0000262,https://www.aeaweb.org/articles?id=10.1257/aer.20141757,AEA Article Page,Public,Download from article data tab,Network blocked - requires manual download,No,
AEARCTR-0001812,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/PES3RD,Harvard Dataverse,Public,Manual browser download,Network blocked - requires manual download,No,
AEARCTR-0001634,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PXV79W,Harvard Dataverse,Public,Manual browser download,Network blocked - requires manual download,No,
AEARCTR-0001501,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/5OPIYU,Harvard Dataverse,Public,Manual browser download,Network blocked - requires manual download,No,
AEARCTR-0001161,https://www.aeaweb.org/aer/data/10502/20130267_data.zip,AEAweb Direct ZIP,Public,Direct download,Network blocked - requires manual download,No,
AEARCTR-0001047,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28063,Harvard Dataverse,Public,Manual browser download,Network blocked - requires manual download,No,
AEARCTR-0008281,https://doi.org/10.7910/DVN/MBRDZ7,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0000949,https://github.com/eabeam/spesIE,GitHub,Public,git clone or ZIP download,✅ VERIFIED ACCESSIBLE,Needs git clone,
AEARCTR-0010189,https://github.com/mfsteinhauser/Direct-Aid-Replication-Materials,GitHub,Public,git clone or ZIP download,✅ VERIFIED ACCESSIBLE,Needs git clone,
AEARCTR-0003994,https://doi.org/10.7910/DVN/9TEAIV,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0000317,http://academics.wellesley.edu/Economics/mcewan/PDF/GalianiandMcEwan(2013).zip,Personal/Institutional Site,Uncertain,"Check site, may be moved",⚠️ May be broken/moved,No,
AEARCTR-0000297,https://www.openicpsr.org/openicpsr/project/155121/version/V1/view,OpenICPSR,Public (registration required),Register + download,Network blocked - requires manual download,No,
AEARCTR-0001021,http://www.aeaweb.org/aer/data/10411/20120270_data.zip,AEAweb Direct ZIP,Public,Direct download,Network blocked - requires manual download,No,
AEARCTR-0001466,https://www.aeaweb.org/articles?id=10.1257/aer.103.3.381&amp;within%5Btitle%5D=on&amp;journal=1&amp;q=Profitability+of+Fertilizer&amp;from=j,AEA Article Page,Public,Download from article data tab,Network blocked - requires manual download,No,
AEARCTR-0001600,http://dx.doi.org/10.1016/j.jebo.2012.12.031,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0006914,https://doi.org/10.7910/DVN/RCJ1YC,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0013055,https://doi.org/10.7910/DVN/LTPBWY,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0000276,https://people.stanford.edu/nbloom/research,Personal/Institutional Site,Uncertain,"Check site, may be moved",⚠️ May be broken/moved,No,
AEARCTR-0008775,https://doi.org/10.7910/DVN/X5MBHP,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0001348,http://econ-www.mit.edu/files/5584,Personal/Institutional Site,Uncertain,"Check site, may be moved",⚠️ May be broken/moved,No,
AEARCTR-0003555,https://doi.org/10.1016/j.jdeveco.2020.102609,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0001469,http://www.nber.org/data-appendix/w21302/,Personal/Institutional Site,Uncertain,"Check site, may be moved",⚠️ May be broken/moved,No,
AEARCTR-0004717,https://doi.org/10.7910/DVN/ALKOCV,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
AEARCTR-0010129,https://doi.org/10.5281/zenodo.14278006,DOI Redirect,Public,Resolve DOI then download,Network blocked - requires manual download,No,
