rct_id,title,url,tier
AEARCTR-0000027,Does Non-symbolic Math Practice in Young Children Improve Symbolic Mathematics Ability in Later Life?,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LCLKDT,TIER1
AEARCTR-0000028,The Oregon Health Insurance Experiment,http://www.nber.org/oregon/data.html,OTHER
AEARCTR-0000045,Commitment Savings Products in the Philippines,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27854,TIER1
AEARCTR-0000062,Self-Control and Chronic Illness: Theory and Evidence From a Field Experiment,https://doi.org/10.7910/DVN/MKRCFU,TIER1
AEARCTR-0000078,Evaluating a Nationwide Business Plan Competition,http://microdata.worldbank.org/index.php/catalog/2329,OTHER
AEARCTR-0000083,Testing the Impact of Access to Basic Bank Accounts: A Randomized Field Experiment in three countries,https://www.openicpsr.org/openicpsr/project/116346/version/V1/view,TIER2
AEARCTR-0000130,"Food Constraints, Yield Uncertainty and “Ganyu” Labour",https://www.aeaweb.org/articles?id=10.1257/aer.20180607,OTHER
AEARCTR-0000139,(Ineffective) Messages to Encourage Recycling: Evidence from a Randomized Evaluation in Peru,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8PTLL,TIER1
AEARCTR-0000162,Evaluating Agricultural Training in Armenia,http://data.mcc.gov/evaluations/index.php/catalog/1/overview,OTHER
AEARCTR-0000168,Land Property Rights and Agricultural Investment in the Philippines: Experimental Evidence on Impacts and Mechanisms,https://doi.org/10.7910/DVN/2LYWNU,TIER1
AEARCTR-0000211,Using Cultural Ceremonies to Reduce Intimate Partner Violence and HIV Transmission ,https://osf.io/pwd87/,TIER1
AEARCTR-0000225,Getting Parents Involved: A Field Experiment in Deprived Schools,http://restud.oxfordjournals.org/content/early/2013/09/19/restud.rdt027/suppl/DC1,TIER2
AEARCTR-0000262,An Experimental Study of the Value of Postsecondary Credentials in the Labor Market,https://www.aeaweb.org/articles?id=10.1257/aer.20141757,OTHER
AEARCTR-0000276,Evaluating the Impact of Working from Home on Productivity and Work-Life Balance in China,https://people.stanford.edu/nbloom/research,OTHER
AEARCTR-0000291,Promoting Early Grade Reading &amp; Numeracy in Tanzania,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910/DVN/XAOOTR,TIER1
AEARCTR-0000297,Apprentice Labor and Firm Output: Evidence from a random match experiment,https://www.openicpsr.org/openicpsr/project/155121/version/V1/view,TIER2
AEARCTR-0000317,The Heterogeneous Impact of Conditional Cash Transfers,http://academics.wellesley.edu/Economics/mcewan/PDF/GalianiandMcEwan(2013).zip,OTHER
AEARCTR-0000325,Evaluating the Social and Economic Impact of Microcredit on Individual Borrowers &amp; Their Communities in Mexico,http://www.aeaweb.org/aej/app/data/0701/2013-0537_data.zip,TIER1
AEARCTR-0000327,Testing Referrals for Peer Screening and Influencing Repayment,https://www.aeaweb.org/aej/mic/data/0703/2013-0234_data.zip,TIER1
AEARCTR-0000329,Health Care Hotspotting: A Randomized Controlled Trial,https://doi.org/10.7910/DVN/ZJVVQZ,TIER1
AEARCTR-0000331,Effective Delivery of Health Products in Ghana,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/P04NKK,TIER1
AEARCTR-0000332,Project Generasi: Conditional community block grants in Indonesia,http://economics.mit.edu/files/9627,OTHER
AEARCTR-0000352,Understanding the Impacts of a Civic Participation Initiative in Rwanda: Experimental Findings,https://mcc.icpsr.umich.edu/evaluations/index.php/catalog/2001/versions/V1,TIER2
AEARCTR-0000371, Impact Evaluation of a Microcredit Program in Morocco,http://www.aeaweb.org/aej/app/data/0701/2013-0535_data.zip,TIER1
AEARCTR-0000377,Diminishing the Effect of Vote-buying on Electoral Outcomes in India: A Pilot RCT to Test the Effectiveness of Radio Messages,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VPGE7F,TIER1
AEARCTR-0000404,Impacts of Teach For America on student achievement and other outcomes,https://www.mathematica-mpr.com/our-publications-and-findings/publications/public-use-files-from-the-national-evaluation-of-teach-for-america,OTHER
AEARCTR-0000437,"Income Timing, Temptation, and Expenditures: Field Experimental Evidence from Malawi",http://doi.org/10.17632/kf3wy2k2bb.1,OTHER
AEARCTR-0000472,Counseling the Unemployed in France (OPP/CVE),http://www.aeaweb.org/aej/app/data/0604/2013-0232_data.zip,TIER1
AEARCTR-0000473,Discrimination in Hiring and Anonymous CVs in France (CV Anonymes),http://www.aeaweb.org/aej/app/data/0703/2014-0185_data.zip,TIER1
AEARCTR-0000515,Impact Evaluation of the Entreprenant Status in Cotonou,http://microdata.worldbank.org/index.php/catalog/2793/,OTHER
AEARCTR-0000528,Upgrading Management Technology in Colombia,https://zenodo.org/records/4421786,TIER1
AEARCTR-0000558,Preferences for Religious Giving,https://doi.org/10.7910/DVN/KVFRFO,TIER1
AEARCTR-0000561,Harvesting Rainfall: Randomized Cistern Deployment in Northeast Brazil,http://doi.org/10.3886/E173341V1,TIER2
AEARCTR-0000605,"Moral Hazard, Networks and Risk Sharing: Evidence from a Lab Experiment in the Field",https://doi.org/10.1016/j.jebo.2020.09.028,OTHER
AEARCTR-0000610,Motivating Bureaucrats: Autonomy vs Performance Pay for Public Procurement in Pakistan,https://doi.org/10.7910/DVN/OJQWO2,TIER1
AEARCTR-0000611,When Contact Changes Minds: An Experiment on Transmission of Support for Gay Equality,http://www.openicpsr.org/repoEntity/show/19260?versionId=19260V1,TIER2
