seq_id,study_label,arm_id,outcome_id,outcome_name,control_arm,gt_delta,llm_effect,llm_treat_mean,llm_ctrl_mean,llm_treat_var,llm_ctrl_var,one_sided,gt_treatment_mean,gt_control_mean,gt_n_treatment,gt_n_control,metric,scale_type,scale_min,scale_max,comparable,note
19,Paying for Kidneys? A Randomized Survey and Choice Experiment,system_1,support_full_demand,Support for alternative system at 100 percent of annual demand,current_system,0.4,0.0,1.0,1.0,0.0,0.0,True,0.7,0.3,,,proportion,binary,0,1,True,
19,Paying for Kidneys? A Randomized Survey and Choice Experiment,system_1,support_no_transplant_gain,Support for alternative system at 0 additional transplants,current_system,0.14,0.0,0.0,0.0,0.0,0.0,True,0.57,0.43,,,proportion,binary,0,1,True,
103,Labor Market Concerns and Support for Immigration,research_evidence,petition_increase_h2b,Signed petition to increase annual H-2B cap,control,0.027,1.0,1.0,0.0,0.0,0.0,True,0.066,0.039,,,proportion,binary,0,1,True,
103,Labor Market Concerns and Support for Immigration,research_evidence,support_low_skilled_immigration_index,Support for low-skilled immigration index,control,0.14,0.44,3.54,3.1,0.2484,0.21,False,0.14,0.0,,,mean,continuous,1,5,True,
118,Sharing responsibility for the good,bilateral,wtp_measles_vaccination,Willingness to pay for measles vaccination of a child,individual_active,0.01,0.0,2.5,2.5,0.0,0.0,True,1.0,0.99,120,119,mean,continuous,0.0,2.5,True,
118,Sharing responsibility for the good,individual_passive,wtp_measles_vaccination,Willingness to pay for measles vaccination of a child,individual_active,0.2,0.0,2.5,2.5,0.0,0.0,True,1.19,0.99,119,119,mean,continuous,0.0,2.5,True,
119,Insurance demand experiments: Comparing crowdworking to the lab,online,insurance_demand,Insurance demand,in_person,0.71,10.0,24.4,14.4,612.64,500.64,False,46.28,45.57,1352,378,mean,continuous,0,100,True,
125,The Relative Income Effect: An Experiment,hh_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.791,1.12,25.38,24.26,6.2756,2.3924,False,17.286,15.495,133,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,hh_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,0.842,-0.2,24.06,24.26,0.6964,2.3924,False,16.337,15.495,101,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,hl_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.798,3.96,28.22,24.26,15.1316,2.3924,False,17.293,15.495,123,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,hl_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,1.044,2.72,26.98,24.26,4.2996,2.3924,False,16.539,15.495,89,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,lh_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,-2.728,-4.18,20.08,24.26,4.7136,2.3924,False,12.767,15.495,103,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,lh_points,post_msf_score,Post-revelation Mood Short Form score,ll_points,-1.183,-3.1,21.16,24.26,4.2944,2.3924,False,14.312,15.495,109,103,mean,continuous,4,20,True,
125,The Relative Income Effect: An Experiment,ll_dollars,post_msf_score,Post-revelation Mood Short Form score,ll_points,-1.525,0.06,24.32,24.26,0.9776,2.3924,False,13.97,15.495,99,103,mean,continuous,4,20,True,
131,Cash transfer narratives and charitable giving,community_empowerment,donation_amount,Donation Amount,poverty_alleviation,2.329,-3.0,40.8,43.8,351.36,247.56,False,38.967,36.638,454,461,mean,continuous,0,100,True,
131,Cash transfer narratives and charitable giving,individual_empowerment,donation_amount,Donation Amount,poverty_alleviation,-1.468,-20.8,23.0,43.8,621.0,247.56,False,35.17,36.638,452,461,mean,continuous,0,100,True,
141,People Judge Discrimination Against Women More Harshly Than Discrimination Against Men – Does Statistical Fairness Discrimination Explain Why?,woman_discrimination_first,moral_badness_of_manager_decision,Moral badness of manager's discriminatory hiring decision,man_discrimination_first,11.8,0.56,6.66,6.1,0.2244,0.25,False,13.3,1.5,,,mean,continuous,-50,50,True,
143,Forecasting the Results of Experiments,large_slider_1_0_sd,predicted_causal_effect,Predicted causal effect,small_slider_0_5_sd,0.09,0.0,0.0,0.0,0.0,0.0,True,0.21,0.12,37,33,mean,continuous,-1.0,1.0,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.312,-2.28,5.7,7.98,1.57,1.3796,False,5.487,5.799,195,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.218,-2.76,4.72,7.48,1.2416,1.4496,False,5.528,5.746,195,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-2.174,0.7935,10.12,9.3265,6.3056,7.321949,False,4.885,7.059,87,101,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,modified_matrix_low,"Wave 2 modified matrix puzzle reported matrices solved, low incentive",controlgroup,-2.743,-0.16,8.62,8.78,3.0756,3.6916,False,5.138,7.881,87,101,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,sender_receiver_high,"Wave 1 sender-receiver dishonest message rate, high incentive",controlgroup,0.095,1.0,1.0,0.0,0.0,0.0,True,0.595,0.5,195,284,proportion,binary,0,1,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,high_dishonesty_treatment,sender_receiver_low,"Wave 1 sender-receiver dishonest message rate, low incentive",controlgroup,0.103,1.0,1.0,0.0,0.0,0.0,True,0.497,0.394,195,284,proportion,binary,0,1,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,matrix_puzzle_high,"Wave 1 matrix puzzle reported matrices solved, high incentive",controlgroup,-0.931,-2.02,5.96,7.98,2.5984,1.3796,False,4.868,5.799,205,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,matrix_puzzle_low,"Wave 1 matrix puzzle reported matrices solved, low incentive",controlgroup,-0.98,-1.84,5.64,7.48,1.8304,1.4496,False,4.766,5.746,205,284,mean,continuous,0,10,True,
151,The Effect of Self-Awareness and Competition on Dishonesty,honesty_treatment,modified_matrix_high,"Wave 2 modified matrix puzzle reported matrices solved, high incentive",controlgroup,-1.006,-0.6265,8.7,9.3265,3.01,7.321949,False,6.053,7.059,76,101,mean,continuous,0,10,True,
