rct_id,title,source_url,final_url,initial_family,final_family,navigation_ok,status,login_likely,js_required,candidate_count,filelike_link_count,network_hint_count,probe_outcomes
"AEARCTR-0000027","Does Non-symbolic Math Practice in Young Children Improve Symbolic Mathematics Ability in Later Life?","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LCLKDT","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LCLKDT","dataverse","dataverse","true","202","true","false","8","0","0","error|click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0000062","Self-Control and Chronic Illness: Theory and Evidence From a Field Experiment","https://doi.org/10.7910/DVN/MKRCFU","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MKRCFU","doi_resolver","dataverse","true","200","true","false","8","0","0","error|click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0000078","Evaluating a Nationwide Business Plan Competition","http://microdata.worldbank.org/index.php/catalog/2329","https://microdata.worldbank.org/index.php/catalog/2329","worldbank_microdata","worldbank_microdata","true","200","true","false","8","0","4","navigation|navigation|navigation"
"AEARCTR-0000083","Testing the Impact of Access to Basic Bank Accounts: A Randomized Field Experiment in three countries","https://www.openicpsr.org/openicpsr/project/116346/version/V1/view","https://www.openicpsr.org/openicpsr/project/116346/version/V1/view","openicpsr_icpsr","openicpsr_icpsr","true","200","true","false","8","0","0","locator_not_found|locator_not_found|locator_not_found"
"AEARCTR-0000130","Food Constraints, Yield Uncertainty and “Ganyu” Labour","https://www.aeaweb.org/articles?id=10.1257/aer.20180607","https://www.aeaweb.org/articles?id=10.1257/aer.20180607","aea","aea","true","200","true","false","6","0","0","navigation|click_no_observable_effect|popup"
"AEARCTR-0000162","Evaluating Agricultural Training in Armenia","http://data.mcc.gov/evaluations/index.php/catalog/1/overview","https://mcc.icpsr.umich.edu/evaluations/index.php/catalog/1/overview","worldbank_microdata","openicpsr_icpsr","true","404","true","false","0","0","0",""
"AEARCTR-0000211","Using Cultural Ceremonies to Reduce Intimate Partner Violence and HIV Transmission ","https://osf.io/pwd87/","https://osf.io/pwd87/overview","osf","osf","true","200","true","false","6","0","8","navigation|navigation|navigation"
"AEARCTR-0000317","The Heterogeneous Impact of Conditional Cash Transfers","http://academics.wellesley.edu/Economics/mcewan/PDF/GalianiandMcEwan(2013).zip","about:blank","direct_file","direct_file","false","","false","false","0","0","0",""
"AEARCTR-0000352","Understanding the Impacts of a Civic Participation Initiative in Rwanda: Experimental Findings","https://mcc.icpsr.umich.edu/evaluations/index.php/catalog/2001/versions/V1","https://mcc.icpsr.umich.edu/evaluations/index.php/catalog/2001/versions/V1","openicpsr_icpsr","openicpsr_icpsr","true","200","true","false","2","0","0","click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0000528","Upgrading Management Technology in Colombia","https://zenodo.org/records/4421786","about:blank","zenodo","zenodo","false","","false","false","0","0","0",""
"AEARCTR-0000924","Representations and impact of educative and prevention websites on suicide","https://figshare.com/articles/dataset/Dataset_sav/4898147","https://figshare.com/articles/dataset/Dataset_sav/4898147","figshare","figshare","true","202","false","false","5","0","2","click_no_observable_effect|click_no_observable_effect|click_no_observable_effect"
"AEARCTR-0000949","Evaluation of the DOLE Special Program for the Employment of Students (SPES)","https://github.com/eabeam/spesIE","https://github.com/eabeam/spesIE","github","github","true","200","true","false","8","3","1","navigation|navigation|navigation"
"AEARCTR-0001014","Improving seed selection and storage to increase yields among Ugandan potato growers","https://bitbucket.org/bjvca/potseedrct/src/3685eb35fe3eddf9418b5ea3081819c11c207089/data/endlineV1.csv?at=master&amp;fileviewer=file-view-default","https://bitbucket.org/bjvca/potseedrct/src/3685eb35fe3eddf9418b5ea3081819c11c207089/data/endlineV1.csv?at=master&amp;fileviewer=file-view-default","bitbucket","bitbucket","true","200","false","false","8","25","11","error|error|navigation"
"AEARCTR-0001071","Using the infrastructure of a conditional cash transfer program to deliver a scalable integrated early child development program in Colombia: cluster randomized controlled trial","http://www.data-archive.ac.uk/","https://www.data-archive.ac.uk/","uk_data_service","uk_data_service","true","200","false","false","8","0","0","error|click_no_observable_effect|navigation"
